CustomerID,Frequency,TotalQuantity,Revenue,FirstPurchase,LastPurchase,AverageUnitPrice,UniqueProducts,Country,CustomerTenure,Recency,AverageOrderValue,AverageQuantityPerOrder,WeekendPurchaseRatio,ReturnRate,AverageDaysBetweenOrders,CustomerType
12346.0,12,74285,77556.46,2009-12-14 08:34:00,2011-01-18 10:01:00,6.1000000000000005,27,United Kingdom,400,325,6463.038333333334,6190.416666666667,0.0,0.0,35.90909090909091,Loyal
12347.0,8,2967,4921.53,2010-10-31 14:20:00,2011-12-07 15:52:00,2.4980630630630634,126,Iceland,402,1,615.19125,370.875,0.18018018018018017,0.0,57.0,Regular
12348.0,5,2714,2019.3999999999999,2010-09-27 14:59:00,2011-09-25 13:13:00,3.7862745098039214,25,Finland,362,74,403.88,542.8,0.058823529411764705,0.0,90.5,Occasional
12349.0,4,1624,4428.6900000000005,2010-04-29 13:20:00,2011-11-21 09:51:00,8.459657142857143,138,Italy,570,18,1107.1725000000001,406.0,0.0,0.0,189.66666666666666,Occasional
12350.0,1,197,334.40000000000003,2011-02-02 16:01:00,2011-02-02 16:01:00,3.841176470588235,17,Norway,0,309,334.40000000000003,197.0,0.0,0.0,0.0,New
12351.0,1,261,300.93,2010-11-29 15:23:00,2010-11-29 15:23:00,2.355238095238095,21,Unspecified,0,374,300.93,261.0,0.0,0.0,0.0,New
12352.0,10,724,2849.84,2010-11-12 10:20:00,2011-11-03 14:37:00,13.676796116504855,70,Norway,356,35,284.98400000000004,72.4,0.0,0.0,39.22222222222222,Regular
12353.0,2,212,406.76,2010-10-27 12:44:00,2011-05-19 17:47:00,2.6283333333333334,23,Bahrain,204,203,203.38,106.0,0.0,0.0,204.0,New
12354.0,1,530,1079.4,2011-04-21 13:11:00,2011-04-21 13:11:00,4.5037931034482765,58,Spain,0,231,1079.4,530.0,0.0,0.0,0.0,New
12355.0,2,543,947.61,2010-05-21 11:59:00,2011-05-09 13:49:00,3.069428571428572,35,Bahrain,353,213,473.805,271.5,0.0,0.0,353.0,New
12356.0,6,3416,6371.7300000000005,2010-10-11 09:42:00,2011-11-17 08:40:00,3.157042253521127,104,Portugal,401,22,1061.9550000000002,569.3333333333334,0.0,0.0,79.8,Regular
12357.0,3,6587,18287.66,2010-11-16 10:05:00,2011-11-06 16:07:00,6.196993243243243,261,Switzerland,355,32,6095.886666666666,2195.6666666666665,0.44256756756756754,0.0,177.5,Occasional
12358.0,5,1079,3887.07,2009-12-08 07:59:00,2011-12-08 10:26:00,5.3680519480519475,56,Austria,730,1,777.414,215.8,0.0,0.0,182.0,Occasional
12359.0,10,2739,8873.39,2009-12-05 13:32:00,2011-10-13 12:47:00,7.393646408839779,305,Cyprus,676,57,887.3389999999999,273.9,0.17403314917127072,0.0,74.88888888888889,Regular
12360.0,8,2459,4252.89,2010-02-22 09:32:00,2011-10-18 15:22:00,3.2079723502304147,160,Austria,603,51,531.61125,307.375,0.0,0.0,85.71428571428571,Regular
12361.0,4,235,511.25,2010-01-26 14:37:00,2011-02-25 13:51:00,3.8706896551724137,18,Belgium,394,286,127.8125,58.75,0.20689655172413793,0.0,131.0,Occasional
12362.0,11,2230,5356.2300000000005,2009-12-01 10:10:00,2011-12-06 15:40:00,4.413071161048689,201,Belgium,735,2,486.93000000000006,202.72727272727272,0.0,0.0,73.0,Loyal
12363.0,2,408,552.0,2011-04-11 13:29:00,2011-08-22 10:18:00,2.3117391304347827,23,Unspecified,132,109,276.0,204.0,0.0,0.0,132.0,New
12364.0,4,1506,1313.1,2011-08-19 15:24:00,2011-12-02 10:22:00,1.910235294117647,70,Belgium,104,7,328.275,376.5,0.25882352941176473,0.0,34.333333333333336,Occasional
12365.0,2,174,641.38,2011-02-21 13:51:00,2011-02-21 14:04:00,17.150454545454547,22,Cyprus,0,290,320.69,87.0,0.0,0.0,0.0,New
12366.0,1,296,500.24,2010-03-16 10:28:00,2010-03-16 10:28:00,1.6900000000000002,3,Cyprus,0,633,500.24,296.0,0.0,0.0,0.0,New
12367.0,1,173,168.9,2011-12-05 16:48:00,2011-12-05 16:48:00,3.2,11,Denmark,0,3,168.9,173.0,0.0,0.0,0.0,New
12368.0,1,330,917.7,2010-03-21 15:56:00,2010-03-21 15:56:00,4.391666666666667,18,Cyprus,0,627,917.7,330.0,1.0,0.0,0.0,New
12369.0,3,1241,1791.15,2010-03-08 08:09:00,2010-10-22 13:13:00,3.148924731182796,90,Austria,228,412,597.0500000000001,413.6666666666667,0.0,0.0,113.5,Occasional
12370.0,7,2604,4316.56,2010-02-09 09:41:00,2011-10-19 14:51:00,3.424179104477612,168,Austria,617,50,616.6514285714286,372.0,0.0,0.0,102.66666666666667,Regular
12371.0,5,1436,4067.38,2010-03-04 18:23:00,2011-10-26 10:16:00,3.9876047904191623,134,Switzerland,600,44,813.476,287.2,0.0,0.0,149.5,Occasional
12372.0,3,794,1298.04,2011-02-16 12:46:00,2011-09-29 12:12:00,3.001346153846154,34,Denmark,224,71,432.68,264.6666666666667,0.0,0.0,112.0,Occasional
12373.0,3,516,1127.65,2010-02-04 12:08:00,2011-02-01 13:10:00,4.627450980392157,36,Austria,362,310,375.8833333333334,172.0,0.0,0.0,180.5,Occasional
12374.0,4,1362,2989.2200000000003,2010-04-30 14:01:00,2011-11-14 15:37:00,3.47855421686747,79,Austria,563,24,747.3050000000001,340.5,0.0,0.0,187.33333333333334,Occasional
12375.0,2,178,457.5,2011-09-02 14:23:00,2011-11-29 10:36:00,6.912941176470589,14,Finland,87,10,228.75,89.0,0.0,0.0,87.0,New
12376.0,2,240,503.15,2010-10-18 08:42:00,2010-11-15 12:15:00,8.03076923076923,11,Switzerland,28,389,251.575,120.0,0.0,0.0,28.0,New
12377.0,4,2105,3426.32,2010-04-29 15:34:00,2011-01-28 15:45:00,2.7402631578947365,129,Switzerland,274,314,856.58,526.25,0.0,0.0,91.0,Occasional
12378.0,2,3316,5416.32,2010-05-26 14:07:00,2011-08-02 10:34:00,3.380099667774086,281,Switzerland,432,129,2708.16,1658.0,0.0,0.0,432.0,New
12379.0,4,815,1620.22,2010-06-23 12:49:00,2011-09-19 10:09:00,2.9080246913580248,58,Belgium,452,81,405.055,203.75,0.0,0.0,150.66666666666666,Occasional
12380.0,11,3355,9676.300000000001,2010-02-15 12:05:00,2011-11-18 11:27:00,9.894657039711191,156,Belgium,640,21,879.6636363636364,305.0,0.0,0.0,63.7,Loyal
12381.0,5,808,1845.31,2011-08-12 09:57:00,2011-12-05 12:44:00,4.683218390804598,70,Norway,115,4,369.062,161.6,0.1839080459770115,0.0,28.25,Occasional
12383.0,5,1532,1850.56,2010-12-22 14:28:00,2011-06-08 08:02:00,3.086969696969697,84,Belgium,167,184,370.11199999999997,306.4,0.0,0.0,41.25,Occasional
12384.0,2,126,585.27,2011-08-10 11:23:00,2011-11-11 08:39:00,7.87925925925926,26,Switzerland,92,28,292.635,63.0,0.0,0.0,92.0,New
12385.0,1,612,1938.4,2010-11-25 15:14:00,2010-11-25 15:14:00,3.6807692307692306,65,Belgium,0,378,1938.4,612.0,0.0,0.0,0.0,New
12386.0,2,354,401.9,2010-12-08 09:53:00,2011-01-06 12:37:00,2.391,10,Australia,29,337,200.95,177.0,0.0,0.0,29.0,New
12387.0,1,134,143.94,2010-10-20 16:27:00,2010-10-20 16:27:00,2.7622222222222224,9,Australia,0,414,143.94,134.0,0.0,0.0,0.0,New
12388.0,8,2001,3901.11,2010-05-06 12:54:00,2011-11-24 12:30:00,2.8247260273972605,83,Australia,566,15,487.63875,250.125,0.1506849315068493,0.0,80.42857142857143,Regular
12389.0,3,614,1433.33,2010-02-22 10:15:00,2010-11-02 11:52:00,2.6542857142857144,41,Australia,253,402,477.77666666666664,204.66666666666666,0.0,0.0,126.0,Occasional
12390.0,1,353,549.84,2011-09-21 09:33:00,2011-09-21 09:33:00,3.996875,32,Belgium,0,79,549.84,353.0,0.0,0.0,0.0,New
12391.0,6,1204,2724.84,2010-02-15 10:12:00,2011-11-18 12:07:00,3.788651685393259,241,Cyprus,641,21,454.14000000000004,200.66666666666666,0.0,0.0,128.0,Regular
12392.0,1,73,234.75000000000003,2010-04-27 14:04:00,2010-04-27 14:04:00,5.035714285714286,7,Australia,0,590,234.75000000000003,73.0,0.0,0.0,0.0,New
12393.0,6,1311,2399.45,2010-10-07 13:49:00,2011-09-28 15:41:00,2.479906542056075,63,Australia,356,71,399.9083333333333,218.5,0.0,0.0,70.8,Regular
12394.0,2,819,1272.48,2011-05-06 14:01:00,2011-10-07 08:08:00,3.3707407407407404,26,Belgium,153,63,636.24,409.5,0.0,0.0,153.0,New
12395.0,15,3205,4721.17,2010-04-16 10:16:00,2011-11-20 15:21:00,3.604876033057851,145,Belgium,583,18,314.74466666666666,213.66666666666666,0.06198347107438017,0.0,41.214285714285715,Loyal
12396.0,1,591,931.4300000000001,2010-02-03 13:22:00,2010-02-03 13:22:00,2.2993846153846156,65,RSA,0,673,931.4300000000001,591.0,0.0,0.0,0.0,New
12397.0,2,1263,2409.9,2011-07-27 14:21:00,2011-11-04 09:52:00,3.4682539682539684,110,Belgium,99,35,1204.95,631.5,0.0,0.0,99.0,New
12398.0,1,1394,1635.6599999999999,2011-10-25 10:27:00,2011-10-25 10:27:00,1.992705882352941,85,Switzerland,0,45,1635.6599999999999,1394.0,0.0,0.0,0.0,New
12399.0,7,2198,1962.3,2010-03-05 08:45:00,2011-08-12 13:15:00,2.0414545454545454,67,Belgium,525,118,280.3285714285714,314.0,0.0,0.0,87.33333333333333,Regular
12400.0,1,91,205.25,2010-10-21 13:45:00,2010-10-21 13:45:00,2.9136363636363636,11,Australia,0,413,205.25,91.0,0.0,0.0,0.0,New
12401.0,1,11,84.3,2011-02-09 13:50:00,2011-02-09 13:50:00,9.68,5,Belgium,0,302,84.3,11.0,0.0,0.0,0.0,New
12402.0,6,584,1256.9,2010-02-07 12:41:00,2011-01-20 13:49:00,3.3049999999999997,43,Belgium,347,322,209.48333333333335,97.33333333333333,0.4,0.0,69.0,Regular
12403.0,2,260,1019.36,2010-07-06 11:39:00,2011-10-21 10:51:00,7.103333333333334,5,Denmark,471,49,509.68,130.0,0.0,0.0,471.0,New
12404.0,1,1,63.24,2010-01-26 16:25:00,2010-01-26 16:25:00,63.24,1,Finland,0,681,63.24,1.0,0.0,0.0,0.0,New
12405.0,1,857,1710.39,2011-07-14 08:52:00,2011-07-14 08:52:00,3.5442592592592597,54,Finland,0,148,1710.39,857.0,0.0,0.0,0.0,New
12406.0,5,3416,6390.36,2010-01-11 14:04:00,2011-11-17 19:22:00,2.529879518072289,114,Denmark,675,21,1278.072,683.2,0.0,0.0,168.25,Occasional
12407.0,5,1416,1708.12,2011-03-20 13:21:00,2011-10-21 10:11:00,3.2674025974025973,57,Belgium,214,49,341.62399999999997,283.2,0.19480519480519481,0.0,53.0,Occasional
12408.0,8,2229,4340.77,2010-07-29 13:27:00,2011-11-07 12:27:00,3.0869811320754716,104,Belgium,465,32,542.59625,278.625,0.0,0.0,66.14285714285714,Regular
12409.0,7,13143,23419.29,2010-05-23 15:21:00,2011-09-22 10:38:00,3.2362121212121213,177,Switzerland,486,78,3345.612857142857,1877.5714285714287,0.32954545454545453,0.0,80.66666666666667,Regular
12410.0,3,341,1013.71,2010-07-25 13:26:00,2011-02-04 10:39:00,6.01475,36,Switzerland,193,308,337.90333333333336,113.66666666666667,0.35,0.0,96.5,Occasional
12411.0,1,138,346.9,2010-10-26 09:25:00,2010-10-26 09:25:00,3.3954545454545455,22,Australia,0,409,346.9,138.0,0.0,0.0,0.0,New
12412.0,6,1997,2596.93,2010-06-18 13:22:00,2011-09-26 10:16:00,2.567795275590551,82,Denmark,464,74,432.82166666666666,332.8333333333333,0.0,0.0,92.4,Regular
12413.0,4,319,999.45,2010-11-02 13:26:00,2011-10-04 09:00:00,5.902745098039216,41,Spain,335,66,249.8625,79.75,0.0784313725490196,0.0,111.33333333333333,Occasional
12414.0,6,495,952.4100000000001,2010-09-02 12:22:00,2011-05-06 14:51:00,16.35,21,Austria,246,216,158.735,82.5,0.0,0.0,49.0,Regular
12415.0,28,91447,144458.37,2010-06-30 08:30:00,2011-11-15 14:22:00,2.968790496760259,498,Australia,503,23,5159.2275,3265.964285714286,0.0,0.0,18.846153846153847,Loyal
12416.0,1,132,202.56,2010-02-21 10:19:00,2010-02-21 10:19:00,1.5345454545454544,11,Australia,0,656,202.56,132.0,1.0,0.0,0.0,New
12417.0,20,2884,6797.41,2009-12-06 10:30:00,2011-12-06 14:52:00,5.453414634146341,270,Belgium,730,2,339.8705,144.2,0.1111111111111111,0.0,37.94736842105263,Loyal
12418.0,4,1088,2021.2,2010-03-19 14:47:00,2011-08-19 11:08:00,3.3453921568627454,90,Switzerland,517,112,505.3,272.0,0.0,0.0,172.0,Occasional
12419.0,2,231,503.01,2010-10-22 10:40:00,2010-11-19 10:04:00,5.0436000000000005,23,Spain,27,385,251.505,115.5,0.0,0.0,27.0,New
12420.0,1,345,600.39,2011-10-07 08:55:00,2011-10-07 08:55:00,4.707241379310345,29,Cyprus,0,63,600.39,345.0,0.0,0.0,0.0,New
12421.0,6,652,1098.6,2010-07-22 13:57:00,2011-11-24 09:07:00,4.771076923076923,44,Spain,489,15,183.1,108.66666666666667,0.2153846153846154,0.0,97.4,Regular
12422.0,17,2596,5231.8,2009-12-18 12:44:00,2011-09-05 09:48:00,10.177732558139535,137,Australia,625,95,307.7529411764706,152.7058823529412,0.12209302325581395,0.0,38.5,Loyal
